STATE/UT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
A&N Islands,163,165,169,174,181,188,196,205,215,224,233,241
Andhra Pradesh,37683,38179,38660,39129,39587,40036,40474,40900,41316,41724,42124,42517
Arunachal Pradesh,518,525,532,539,546,553,560,567,573,580,587,594
Assam,12878,13090,13298,13501,13702,13902,14099,14294,14486,14678,14870,15061
Bihar,39755,40548,41328,42094,42847,43586,44312,45025,45724,46409,47080,47738
Chandigarh,394,400,412,430,450,471,495,522,550,579,606,632
Chhattisgarh,10360,10544,10725,10902,11076,11249,11419,11587,11753,11917,12081,12244
D&N Haveli,99,94,94,97,103,109,117,127,139,150,160,169
Daman & Diu,66,71,75,79,82,85,88,89,91,93,95,97
Delhi UT,6243,6428,6612,6799,6990,7186,7386,7590,7798,8013,8235,8465
Goa,660,658,666,680,697,716,737,763,791,818,841,862
Gujarat,24285,24684,25076,25463,25844,26220,26590,26954,27313,27667,28016,28359
Haryana,9781,9975,10169,10362,10555,10746,10936,11125,11313,11500,11685,11869
Himachal Pradesh,2990,3027,3063,3098,3132,3166,3199,3231,3262,3293,3322,3351
Jammu & Kashmir,4783,4862,4943,5024,5105,5185,5265,5345,5424,5502,5579,5654
Jharkhand,13061,13304,13538,13766,13990,14211,14429,14642,14852,15062,15274,15486
Karnataka,25952,26312,26664,27010,27350,27685,28015,28338,28656,28969,29278,29583
Kerala,16373,16517,16660,16801,16939,17074,17206,17336,17462,17585,17704,17819
Lakshadweep,30,32,33,34,35,36,37,37,37,38,38,39
Madhya Pradesh,28904,29490,30069,30641,31209,31773,32332,32886,33436,33982,34527,35069
Maharashtra,46478,47214,47956,48701,49444,50181,50916,51651,52382,53105,53816,54519
Manipur,1071,1086,1100,1114,1129,1143,1157,1171,1186,1200,1214,1229
Meghalaya,1143,1158,1173,1189,1204,1219,1234,1250,1265,1280,1296,1311
Mizoram,429,435,441,447,452,458,464,470,475,481,487,493
Nagaland,943,956,968,981,993,1006,1019,1031,1044,1056,1069,1082
Odisha,18144,18365,18580,18789,18994,19196,19393,19586,19776,19963,20148,20330
Puducherry,487,489,498,512,529,547,567,590,615,640,661,681
Punjab,11374,11520,11667,11814,11960,12104,12245,12386,12525,12661,12792,12920
Rajasthan,27087,27633,28181,28728,29272,29811,30345,30877,31405,31925,32436,32938
Sikkim,252,255,259,262,266,269,273,276,280,284,287,291
Tamil Nadu,31005,31304,31593,31872,32142,32405,32658,32903,33140,33369,33592,33808
Tripura,1557,1578,1599,1620,1640,1661,1682,1703,1724,1744,1765,1786
Uttar Pradesh,78633,80211,81812,83431,85060,86693,88335,89989,91650,93311,94966,96618
Uttarakhand,4163,4234,4306,4377,4449,4520,4591,4662,4732,4802,4871,4939
West Bengal,38710,39269,39798,40303,40791,41268,41731,42174,42605,43029,43454,43874
