STATE/UT,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,CRUELTY BY HUSBAND OR RELATIVES,DOWRY DEATH,IMMORAL TRAFFIC(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INSULT TO THE MODESTY OF WOMEN,KIDNAPPING & ABDUCTION,RAPE
Andhra Pradesh,10.8860008894599,28.0056332460345,1.51455255225577,1.51208183031082,2.48307555467708,8.19291396946188,3.86420912190542,2.64367248109898
Arunachal Pradesh,12.857142857142902,3.5714285714285694,0.0,0.0,0.0,0.178571428571429,7.857142857142861,8.571428571428571
Assam,5.596141570324138,21.2781048301298,0.709270161004327,0.148946733810909,0.0,0.070927016100433,10.4333640683736,10.1922122136322
Bihar,1.92498645964976,3.68974544141542,2.64488174760787,0.060931576096768,0.0,0.027080700487453,2.84347355118252,3.5092074381657303
Chhattisgarh,13.565110780278498,7.21604343637797,0.875733426744899,0.122602679744286,0.0,0.972064103686838,1.58507750240827,8.599702250634909
Goa,2.71370420624152,1.89959294436906,0.27137042062415195,1.35685210312076,0.0,0.949796472184532,0.949796472184532,2.71370420624152
Gujarat,3.09138773975179,21.914253478751398,0.157954118089507,0.165475742760436,0.0,0.451297480255735,4.0955246333208,1.18841669800677
Haryana,3.8130943672275097,22.0555961960497,2.45976591075348,0.804681784930505,0.0,3.73994147768837,5.06583760058522,4.46232626188734
Himachal Pradesh,10.065645514223199,10.6908408877774,0.250078149421694,0.0,0.0,1.03157236636449,4.6889653016567685,4.97030321975617
Jammu & Kashmir,18.7274453941121,3.34283000949668,0.170940170940171,0.018993352326686,0.0,6.70465337132004,13.4283000949668,5.470085470085468
Jharkhand,2.37022662693187,5.55132025781412,2.09993762561508,0.097026820985515,0.0,0.103957308198766,3.70088017187608,5.92556656732968
Karnataka,6.52507585222203,8.948777440656789,0.89594859896484,2.18454399428877,0.0,0.099946457255042,1.39211136890951,1.55630912011422
Kerala,15.2504940137161,23.2418923631291,0.15692200395210998,1.16819714053237,0.15111007787980898,1.52272463094269,1.02871091479716,2.97570614901778
Madhya Pradesh,20.945193616231602,10.188048991711,2.29493999752567,0.058765309909687015,0.0,2.4124706173450496,2.16813064456266,9.30966225411357
Maharashtra,6.49304737214235,14.4473250058921,0.8563123576086099,0.632414172362322,0.003928038337654,2.0406159164113404,1.89920653625579,2.8497918139681
Manipur,6.05012964563526,1.29645635263613,0.0,0.0,0.0,0.0,7.17372515125324,1.7286084701815
Meghalaya,3.6466774716369503,1.5397082658022698,0.16207455429497594,0.08103727714748797,0.0,0.08103727714748797,1.78282009724473,6.645056726094
Mizoram,14.2241379310345,0.43103448275862105,0.0,0.0,0.0,0.0,0.0,17.8879310344828
Nagaland,0.7850834151128561,0.0,0.0,0.392541707556428,0.0,0.098135426889107,0.5888125613346421,1.27576054955839
Odisha,14.309286856082098,3.7539318310730696,2.37714639302841,0.2062599907183,0.0,1.24271644407776,3.40328984685196,4.841953282112098
Punjab,3.48713760718661,7.92976725193957,1.08615761535321,0.367496937525521,0.0,0.391996733360555,4.45079624336464,4.238464679461
Rajasthan,8.16279452957654,26.923710660734898,1.44669632558906,0.29988465974625106,0.43170209260174697,0.092272202998847,5.582468281430218,4.0797495468775695
Sikkim,4.76190476190476,2.56410256410256,0.0,0.7326007326007329,0.0,0.0,3.2967032967033,8.79120879120879
Tamil Nadu,4.71553677506277,6.05058484904158,0.636903668320167,3.67138220344173,0.076550921673097,2.67928225855839,3.35905444301549,1.60144528140119
Tripura,14.506539833531498,32.4019024970273,2.14030915576694,0.0,0.0,0.23781212841854896,4.81569560047562,9.33412604042806
Uttar Pradesh,2.85504047093451,8.660213958227201,2.3501443368993,0.055470651497142,0.0,3.26257995132167,3.80709797928341,1.86562517688346
Uttarakhand,3.18013504683076,10.084948812894801,1.52472228272707,0.19603572206491,0.0,1.37225005445437,4.9444565454149405,2.54846438684382
West Bengal,5.465960556900151,23.723371114998397,1.08073135079437,0.148570606982819,0.023963001126261,0.237233711149984,3.81011717907551,5.04660803719058
A&N Islands,10.7142857142857,9.18367346938776,0.510204081632653,0.510204081632653,0.0,1.02040816326531,4.59183673469388,1.5306122448979598
Chandigarh,6.46464646464646,22.6262626262626,0.202020202020202,1.01010101010101,0.202020202020202,2.22222222222222,9.292929292929287,4.44444444444444
D&N Haveli,0.0,2.56410256410256,0.0,1.70940170940171,0.0,0.0,5.12820512820513,5.98290598290598
Daman & Diu,0.0,3.40909090909091,1.1363636363636398,5.68181818181818,0.0,0.0,1.1363636363636398,1.1363636363636398
Delhi UT,11.751963173571598,24.194421879231,1.86839967506093,0.8529650690495529,0.0,2.26103438938532,15.800162469537003,8.096398591930681
Lakshadweep,5.4054054054054115,5.4054054054054115,0.0,0.0,0.0,0.0,0.0,2.7027027027027
Puducherry,15.6966490299824,2.9982363315696605,0.3527336860670189,0.8818342151675479,0.0,5.643738977072308,2.46913580246914,1.58730158730159
